app_id,app_name,description,category,target_audience,core_features,scenario,intent_tags
A018,知乎,高质量问答社区，专业人士分享知识、经验和见解。,Community,"['professionals', 'students']","['Q&A', 'articles', 'knowledge sharing']","['learning', 'problem solving', 'reading']","['knowledge', 'Q&A', 'learning']"
A019,今日头条,基于个性化推荐引擎的资讯聚合平台，懂你感兴趣的新闻。,News,"['general public', 'news readers']","['personalized news', 'articles', 'videos']","['reading news', 'passing time']","['news', 'information', 'reading']"
A020,百度,全球最大的中文搜索引擎，搜你想搜，看你想看。,Search,['all users'],"['web search', 'news feed', 'voice search']","['searching information', 'reading news']","['search', 'information', 'tool']"
A021,夸克,极速极简的智能浏览器，自带强大的网盘和扫描功能。,Tool,"['youth', 'students', 'professionals']","['fast browsing', 'cloud storage', 'scanner']","['web browsing', 'file storage', 'scanning']","['browser', 'tool', 'efficiency']"
A022,高德地图,精准的手机地图导航软件，提供打车、公交、驾车路线规划。,Navigation,"['drivers', 'travelers', 'commuters']","['navigation', 'ride-hailing', 'public transit']","['driving', 'commuting', 'traveling']","['map', 'navigation', 'travel']"
A023,百度地图,智能地图导航，提供路况播报、全景地图、语音导航。,Navigation,"['drivers', 'travelers', 'commuters']","['navigation', 'real-time traffic', 'street view']","['driving', 'commuting', 'traveling']","['map', 'navigation', 'travel']"
A024,滴滴出行,一站式出行服务平台，提供快车、专车、代驾等出行服务。,Travel,"['commuters', 'travelers']","['ride-hailing', 'designated driver', 'taxi']","['commuting', 'traveling', 'going out']","['taxi', 'travel', 'ride']"
A025,携程旅行,提供酒店、机票、火车票、景点门票等一站式旅游预订服务。,Travel,"['travelers', 'business travelers']","['hotel booking', 'flight booking', 'train tickets']","['travel planning', 'business trips']","['travel', 'hotel', 'flight']"
A026,去哪儿旅行,特价机票、酒店预订平台，让你的旅行更省钱。,Travel,"['budget travelers', 'students']","['discount flights', 'hotel booking', 'vacation packages']","['travel planning', 'budget travel']","['travel', 'discount', 'booking']"
A027,飞猪旅行,阿里旗下旅行品牌，提供高性价比的国内外旅游服务。,Travel,"['travelers', 'youth']","['hotel booking', 'flight booking', 'tour packages']","['travel planning', 'vacations']","['travel', 'booking', 'vacation']"
A028,铁路12306,中国铁路官方购票软件，支持车票查询、预订、退改签。,Travel,"['travelers', 'commuters']","['train ticket booking', 'ticket refund/change']","['taking train', 'travel planning']","['train', 'ticket', 'travel']"
A029,淘宝,亚洲较大的网上交易平台，海量商品，淘你喜欢。,Shopping,['all users'],"['online shopping', 'live commerce', 'customer reviews']","['shopping', 'browsing products']","['shopping', 'ecommerce', 'buy']"
A030,京东,正品低价，极速物流。提供家电、数码、服饰等全品类网购。,Shopping,"['professionals', 'families']","['fast delivery', 'authentic products', 'electronics']","['buying electronics', 'urgent shopping']","['shopping', 'ecommerce', 'fast delivery']"
A031,拼多多,新电商开创者，拼着买，更便宜。百亿补贴正品保障。,Shopping,"['budget shoppers', 'families']","['group buying', 'huge discounts', 'subsidies']","['budget shopping', 'buying groceries']","['shopping', 'discount', 'group buy']"
A032,闲鱼,阿里巴巴旗下闲置交易平台，让你的闲置物品游起来。,Shopping,"['youth', 'budget shoppers']","['second-hand trading', 'community', 'auctions']","['selling used items', 'buying cheap items']","['second-hand', 'shopping', 'trade']"
A033,美团,吃喝玩乐全都有，外卖、电影票、酒店预订一站式生活服务。,Local Life,['all users'],"['food delivery', 'movie tickets', 'local services']","['ordering food', 'going out', 'entertainment']","['food', 'delivery', 'local']"
A034,饿了么,专业的外卖订餐平台，准时必达，超时赔付。,Local Life,"['all users', 'office workers']","['food delivery', 'grocery delivery']","['ordering meals', 'buying snacks']","['food', 'delivery', 'takeout']"
A035,大众点评,发现品质生活，查看网友真实评价，找高分餐厅。,Local Life,"['foodies', 'young adults']","['restaurant reviews', 'deals', 'local exploration']","['finding restaurants', 'reading reviews']","['food', 'reviews', 'local']"
A036,58同城,找工作、找房子、找二手，同城生活服务大全。,Local Life,"['job seekers', 'renters']","['job hunting', 'apartment renting', 'second-hand']","['moving', 'finding jobs', 'local services']","['local', 'housing', 'jobs']"
A037,支付宝,国民级生活服务平台，提供支付、理财、生活缴费等功能。,Finance,['all users'],"['mobile payment', 'wealth management', 'utility bills']","['paying bills', 'managing money', 'shopping']","['payment', 'finance', 'tool']"
A038,云闪付,银联官方App，支持各种银行卡管理，支付优惠多。,Finance,['bank card users'],"['card management', 'mobile payment', 'discounts']","['paying in stores', 'managing cards']","['payment', 'finance', 'bank']"
A039,招商银行,招商银行官方手机银行，提供转账、理财、信用卡服务。,Finance,"['CMB customers', 'professionals']","['transfer', 'wealth management', 'credit card']","['managing bank account', 'investing']","['bank', 'finance', 'money']"
A040,喜马拉雅,海量有声书、相声评书、新闻播客，听你想听。,Audio,"['commuters', 'audiobook lovers']","['audiobooks', 'podcasts', 'radio shows']","['commuting', 'before sleep', 'relaxing']","['audio', 'listening', 'podcast']"
A041,蜻蜓FM,汇聚广播电台、有声小说、儿童故事，随时随地听世界。,Audio,"['radio listeners', 'parents']","['radio stations', 'audiobooks', 'kids stories']","['driving', 'relaxing', 'parenting']","['audio', 'radio', 'listening']"
A042,酷狗音乐,海量正版曲库，蝰蛇音效，随时随地享受好音乐。,Music,"['music lovers', 'general public']","['music streaming', 'sound effects', 'KTV']","['listening to music', 'relaxing', 'karaoke']","['music', 'audio', 'entertainment']"
A043,全民K歌,腾讯出品的K歌软件，智能修音，和好友一起在线欢唱。,Music,"['singing lovers', 'youth']","['karaoke', 'voice tuning', 'social singing']","['singing', 'party', 'entertainment']","['music', 'singing', 'social']"
A044,番茄免费小说,海量正版小说免费看，都市、玄幻、言情全都有。,Books,['fiction readers'],"['free novels', 'audio reading', 'huge library']","['reading', 'passing time', 'relaxing']","['reading', 'books', 'novel']"
A045,七猫免费小说,免费看书100年，精品小说大全，阅读还能赚零花钱。,Books,"['fiction readers', 'budget users']","['free novels', 'earn money reading', 'huge library']","['reading', 'passing time', 'earning rewards']","['reading', 'books', 'free']"
A046,百度网盘,超大空间的云存储产品，支持文件备份、分享、在线预览。,Tool,"['students', 'professionals']","['cloud storage', 'file backup', 'file sharing']","['storing files', 'sharing documents', 'working']","['tool', 'storage', 'productivity']"
A047,腾讯会议,高清流畅的云视频会议软件，支持屏幕共享、在线协作。,Productivity,"['professionals', 'students']","['video conference', 'screen sharing', 'collaboration']","['remote work', 'online classes', 'meetings']","['work', 'meeting', 'productivity']"
A048,钉钉,阿里出品的企业级智能移动办公平台，提升沟通协同效率。,Productivity,"['professionals', 'companies']","['team communication', 'attendance tracking', 'approval workflows']","['working', 'company management']","['work', 'office', 'productivity']"
A049,扫描全能王,手机变身扫描仪，高清扫描文档，文字识别提取。,Tool,"['professionals', 'students']","['document scanning', 'OCR text recognition', 'PDF export']","['scanning documents', 'studying', 'working']","['tool', 'scanner', 'productivity']"
A050,剪映,全能好用的视频编辑工具，海量模板，轻松剪出大片。,Tool,"['video creators', 'vloggers']","['video editing', 'templates', 'effects and filters']","['editing videos', 'creating vlogs', 'TikTok creation']","['tool', 'video editing', 'creation']"
A051,智能影院世界,全新升级的智能影院世界来了！专为movie lovers打造，独创short clips，解决您的核心痛点。,Video,"['movie lovers', 'gen z']","['short clips', 'danmaku']","['lunch break', 'weekend binge']","['movies', 'short video']"
A052,掌上优选神器,千万用户的首选Shopping应用！提供live commerce功能，让您在gift hunting时享受极致体验。,Shopping,['housewives'],"['live commerce', 'flash sales', 'buyer reviews']",['gift hunting'],"['ecommerce', 'makeup', 'deals']"
A053,神奇课堂世界,口碑爆棚的神奇课堂世界，不仅支持AI tutor，更是您exam prep的得力助手。,Education,"['kids', 'parents']","['AI tutor', 'mock exams']",['exam prep'],"['kids', 'learning', 'exam']"
A054,阳光影院大师,懂你的Video平台，海量资源等你探索。无论是lunch break还是日常使用，都能满足vloggers的需求。,Video,['vloggers'],"['live chat', 'screen cast', 'offline download']","['lunch break', 'before sleep']","['anime', 'vlog', 'short video']"
A055,天天头条卫士,懂你的News平台，海量资源等你探索。无论是commuting还是日常使用，都能满足commuters的需求。,News,"['commuters', 'general public']","['audio reading', 'comment section', 'offline reading']","['commuting', 'morning coffee']","['gossip', 'local news', 'finance news']"
A056,超级影院管家,全新升级的超级影院管家来了！专为gen z打造，独创screen cast，解决您的核心痛点。,Video,"['gen z', 'anime fans']","['screen cast', 'danmaku', '4K streaming']",['traveling'],"['drama', 'entertainment', 'anime']"
A057,神奇音乐世界,千万用户的首选Music应用！提供lyrics sync功能，让您在driving时享受极致体验。,Music,"['audiophiles', 'singers']","['lyrics sync', 'karaoke mode']","['driving', 'before sleep']","['podcast', 'listening']"
A058,超级消消日记,全新升级的超级消消日记来了！专为youth打造，独创3D graphics，解决您的核心痛点。,Games,['youth'],"['3D graphics', 'auto-battle']",['stress relief'],"['multiplayer', 'challenge', 'puzzle']"
A059,全民头条卫士,全新升级的全民头条卫士来了！专为elderly打造，独创offline reading，解决您的核心痛点。,News,"['elderly', 'commuters']","['offline reading', 'personalized feed']","['lunch break', 'commuting']","['reading', 'finance news', 'gossip']"
A060,畅快消消精英,千万用户的首选Games应用！提供3D graphics功能，让您在killing time时享受极致体验。,Games,"['e-sports fans', 'casual gamers']","['3D graphics', 'story mode', 'auto-battle']","['killing time', 'commuting']","['strategy', 'action', 'puzzle']"
A061,天天出行神器,千万用户的首选Travel应用！提供route planning功能，让您在business trip时享受极致体验。,Travel,"['backpackers', 'drivers']","['route planning', 'travel guides']","['business trip', 'weekend getaway']","['navigation', 'guide']"
A062,天天优选联盟,千万用户的首选Shopping应用！提供buyer reviews功能，让您在grocery restock时享受极致体验。,Shopping,"['sneakerheads', 'trendsetters']","['buyer reviews', 'live commerce']",['grocery restock'],"['makeup', 'discount', 'ecommerce']"
A063,闪电财富神器,还在为daily expense check烦恼吗？试试这款Finance神器，内置expense tracking，轻松搞定！,Finance,"['young adults', 'bank customers']","['expense tracking', 'real-time quotes']",['daily expense check'],"['invest', 'loan', 'banking']"
A064,天天优选神器,千万用户的首选Shopping应用！提供price tracking功能，让您在grocery restock时享受极致体验。,Shopping,"['housewives', 'fashion lovers']","['price tracking', 'live commerce']",['grocery restock'],"['fashion', 'ecommerce']"
A065,优享影院宝典,全新升级的优享影院宝典来了！专为vloggers打造，独创4K streaming，解决您的核心痛点。,Video,['vloggers'],"['4K streaming', 'offline download']","['living room', 'lunch break']","['movies', 'entertainment', 'anime']"
A066,星辰财富助手,懂你的Finance平台，海量资源等你探索。无论是salary day还是日常使用，都能满足investors的需求。,Finance,['investors'],"['auto-invest', 'real-time quotes', 'market analysis']","['salary day', 'market opening']","['insurance', 'wealth']"
A067,智能头条卫士,还在为restroom time烦恼吗？试试这款News神器，内置breaking news alerts，轻松搞定！,News,['commuters'],"['breaking news alerts', 'comment section']",['restroom time'],"['gossip', 'world', 'local news']"
A068,畅快交友日记,千万用户的首选Social应用！提供group chat功能，让您在sharing life时享受极致体验。,Social,['youth'],"['group chat', 'virtual avatars', 'matching algorithm']","['sharing life', 'weekend night']","['chat', 'community']"
A069,神奇交友大师,还在为finding teammates烦恼吗？试试这款Social神器，内置moments，轻松搞定！,Social,['youth'],"['moments', 'matching algorithm', 'group chat']",['finding teammates'],"['community', 'voice call', 'strangers']"
A070,掌上影院先锋,懂你的Video平台，海量资源等你探索。无论是living room还是日常使用，都能满足gen z的需求。,Video,"['gen z', 'movie lovers']","['danmaku', 'live chat']",['living room'],"['entertainment', 'drama', 'anime']"
A071,极速课堂大作战,全新升级的极速课堂大作战来了！专为professionals打造，独创Q&A forum，解决您的核心痛点。,Education,['professionals'],"['Q&A forum', 'progress tracking']",['exam prep'],"['reading', 'courses']"
A072,天天影院卫士,还在为living room烦恼吗？试试这款Video神器，内置offline download，轻松搞定！,Video,"['vloggers', 'anime fans']","['offline download', 'danmaku', 'screen cast']",['living room'],"['entertainment', 'movies']"
A073,天天课堂管家,口碑爆棚的天天课堂管家，不仅支持Q&A forum，更是您parenting的得力助手。,Education,"['parents', 'lifelong learners']","['Q&A forum', 'video courses', 'live classes']",['parenting'],"['skills', 'kids', 'reading']"
A074,极速课堂日记,千万用户的首选Education应用！提供Q&A forum功能，让您在skill upgrade时享受极致体验。,Education,['kids'],"['Q&A forum', 'progress tracking', 'mock exams']","['skill upgrade', 'exam prep']","['learning', 'upskill']"
A075,超级财富助手,还在为daily expense check烦恼吗？试试这款Finance神器，内置auto-invest，轻松搞定！,Finance,"['business owners', 'crypto traders']","['auto-invest', 'secure login']","['daily expense check', 'market opening']","['insurance', 'loan', 'banking']"
A076,超级课堂联盟,还在为weekend study烦恼吗？试试这款Education神器，内置mock exams，轻松搞定！,Education,"['professionals', 'kids']","['mock exams', 'live classes', 'AI tutor']","['weekend study', 'parenting']","['skills', 'exam', 'reading']"
A077,神奇财富宝典,口碑爆棚的神奇财富宝典，不仅支持market analysis，更是您bill payment的得力助手。,Finance,['young adults'],"['market analysis', 'secure login']","['bill payment', 'tax season']","['invest', 'loan']"
A078,神奇音乐大师,全新升级的神奇音乐大师来了！专为audiophiles打造，独创smart radio，解决您的核心痛点。,Music,['audiophiles'],"['smart radio', 'equalizer', 'playlist import']","['focusing', 'before sleep']","['audio', 'relax']"
A079,口袋影院管家,全新升级的口袋影院管家来了！专为vloggers打造，独创live chat，解决您的核心痛点。,Video,['vloggers'],"['live chat', '4K streaming']","['living room', 'traveling']","['short video', 'anime', 'drama']"
A080,畅快清理卫士,千万用户的首选Utilities应用！提供junk clean功能，让您在daily maintenance时享受极致体验。,Utilities,"['elderly', 'office workers']","['junk clean', 'battery save', 'app lock']",['daily maintenance'],"['security', 'speed up', 'battery']"
A081,神奇出行大全,全新升级的神奇出行大全来了！专为drivers打造，独创real-time transit，解决您的核心痛点。,Travel,"['drivers', 'backpackers']","['real-time transit', 'travel guides']","['vacation planning', 'road trip']","['taxi', 'hotel']"
A082,口袋音乐管家,口碑爆棚的口袋音乐管家，不仅支持karaoke mode，更是您working out的得力助手。,Music,"['commuters', 'audiophiles']","['karaoke mode', 'lyrics sync', 'lossless audio']","['working out', 'driving']","['songs', 'karaoke']"
A083,全民阅读管家,还在为vacation烦恼吗？试试这款Books神器，内置community reviews，轻松搞定！,Books,['comic fans'],"['community reviews', 'bookmark sync']","['vacation', 'waiting']","['literature', 'reading']"
A084,畅快出行日记,还在为vacation planning烦恼吗？试试这款Travel神器，内置travel guides，轻松搞定！,Travel,['families'],"['travel guides', 'AR navigation']",['vacation planning'],"['taxi', 'guide']"
A085,掌上消消助手,还在为commuting烦恼吗？试试这款Games神器，内置3D graphics，轻松搞定！,Games,['students'],"['3D graphics', 'social ranking', 'multiplayer mode']",['commuting'],"['fun', 'multiplayer']"
A086,智能交友卫士,还在为sharing life烦恼吗？试试这款Social神器，内置group chat，轻松搞定！,Social,"['strangers', 'hobbyists']","['group chat', 'voice chat']",['sharing life'],"['friends', 'dating']"
A087,掌上财富宝典,懂你的Finance平台，海量资源等你探索。无论是salary day还是日常使用，都能满足crypto traders的需求。,Finance,['crypto traders'],"['market analysis', 'secure login', 'expense tracking']","['salary day', 'daily expense check']","['payment', 'stock', 'loan']"
A088,优享消消精英,千万用户的首选Games应用！提供guild system功能，让您在weekend relax时享受极致体验。,Games,['students'],"['guild system', 'auto-battle', 'multiplayer mode']","['weekend relax', 'stress relief']","['fun', 'multiplayer', 'kill time']"
A089,智能消消神器,懂你的Games平台，海量资源等你探索。无论是stress relief还是日常使用，都能满足youth的需求。,Games,"['youth', 'e-sports fans']","['guild system', '3D graphics', 'multiplayer mode']",['stress relief'],"['fun', 'relax']"
A090,神奇消消先锋,口碑爆棚的神奇消消先锋，不仅支持3D graphics，更是您commuting的得力助手。,Games,['youth'],"['3D graphics', 'guild system', 'story mode']",['commuting'],"['relax', 'strategy']"
A091,极速优选大全,口碑爆棚的极速优选大全，不仅支持flash sales，更是您holiday sales的得力助手。,Shopping,"['housewives', 'sneakerheads']","['flash sales', 'live commerce']","['holiday sales', 'gift hunting']","['discount', 'grocery', 'makeup']"
A092,智能交友神器,千万用户的首选Social应用！提供group chat功能，让您在finding teammates时享受极致体验。,Social,['hobbyists'],"['group chat', 'moments', 'virtual avatars']","['finding teammates', 'sharing life']","['friends', 'voice call', 'community']"
A093,阳光音乐大师,全新升级的阳光音乐大师来了！专为singers打造，独创lossless audio，解决您的核心痛点。,Music,['singers'],"['lossless audio', 'playlist import', 'lyrics sync']",['before sleep'],"['songs', 'audio', 'listening']"
A094,口袋出行精英,口碑爆棚的口袋出行精英，不仅支持travel guides，更是您daily commute的得力助手。,Travel,['families'],"['travel guides', 'route planning', 'AR navigation']","['daily commute', 'business trip']","['booking', 'hotel', 'taxi']"
A095,极速阅读助手,还在为commuting烦恼吗？试试这款Books神器，内置eye-care mode，轻松搞定！,Books,"['novel readers', 'audiobook listeners']","['eye-care mode', 'text-to-speech']","['commuting', 'vacation']","['novel', 'comics', 'fiction']"
A096,欢乐影院神器,口碑爆棚的欢乐影院神器，不仅支持short clips，更是您weekend binge的得力助手。,Video,['movie lovers'],"['short clips', 'live chat', '4K streaming']",['weekend binge'],"['vlog', 'entertainment', 'movies']"
A097,优享工具世界,还在为traveling烦恼吗？试试这款Tool神器，内置multi-device，轻松搞定！,Tool,['office workers'],"['multi-device', 'widgets', 'data export']",['traveling'],"['efficiency', 'browser']"
A098,超级音乐卫士,口碑爆棚的超级音乐卫士，不仅支持equalizer，更是您before sleep的得力助手。,Music,['k-pop fans'],"['equalizer', 'smart radio', 'playlist import']","['before sleep', 'focusing']","['radio', 'karaoke', 'audio']"
A099,超级消消联盟,还在为stress relief烦恼吗？试试这款Games神器，内置multiplayer mode，轻松搞定！,Games,['youth'],"['multiplayer mode', 'auto-battle']","['stress relief', 'party with friends']","['action', 'strategy']"
A100,优享影院精英,全新升级的优享影院精英来了！专为drama fans打造，独创screen cast，解决您的核心痛点。,Video,"['drama fans', 'anime fans']","['screen cast', '4K streaming', 'danmaku']",['traveling'],"['vlog', 'drama', 'entertainment']"
